step,timestamp,run_id,robot_model,forward_displacement,base_height,roll,pitch,yaw,command_vx,measured_vx,tracking_error,mpc_accepted,mpc_rejected,predicted_support_force_fl,predicted_support_force_fr,predicted_support_force_rl,predicted_support_force_rr,mpc_cost,contact_fl,contact_fr,contact_rl,contact_rr
0,0.0,a1_demo_run_001,Unitree A1,0.0,0.3260540953126667,0.0008584396749458971,0.021066127558817902,0.0,0.25,0.0,0.25,0,1,6.881698635110423,58.05219707853306,57.16823698367667,8.22450064023927,21.238923834988036,0,1,1,0
1,0.02,a1_demo_run_001,Unitree A1,0.00012129207128596785,0.326092940330605,-0.00023251767488654065,0.022032842583121798,3.246134294112927e-07,0.25,0.006064603564298393,0.2439353964357016,0,1,57.78803084065926,9.195572210881247,7.880253970145599,55.78046605032214,20.985769257410656,1,0,0,1
2,0.04,a1_demo_run_001,Unitree A1,0.0002333687873793164,0.3309487283401896,0.002388255610647103,0.02455323938129064,1.2984336798306956e-06,0.25,0.005603835804667427,0.24439616419533258,0,1,58.45471976268237,6.429667800963893,6.478108250578527,55.768860843917125,21.269953925712244,1,0,0,1
3,0.06,a1_demo_run_001,Unitree A1,0.0005234108943831092,0.3277783078272883,0.00013869607581610817,0.01935345424659085,2.9214006387424562e-06,0.25,0.01450210535018964,0.23549789464981036,0,1,57.74287524102978,8.898292491524852,5.969320804402129,57.82827076219242,20.861486014977856,1,0,0,1
4,0.08,a1_demo_run_001,Unitree A1,0.0005234108943831092,0.32616449644798096,0.0037893599883592564,0.020159468587930336,5.193414121712532e-06,0.25,0.0,0.25,0,1,57.48070709235189,7.096567212538723,7.149018506506508,57.905890633230264,20.854609304945992,1,0,0,1
5,0.1,a1_demo_run_001,Unitree A1,0.0010689841999046868,0.3232790716385334,0.0031775750874423712,0.02028804361080855,8.114333877026765e-06,0.25,0.027278665276078883,0.2227213347239211,0,1,57.32128186094274,8.827852751154001,5.199637322075108,57.548369767513876,21.157949701182034,1,0,0,1
6,0.12,a1_demo_run_001,Unitree A1,0.001425308923567974,0.3257786241727026,0.00654029821270417,0.020651252915917438,1.1683979592184074e-05,0.25,0.01781623618316435,0.23218376381683564,0,1,57.528879917447,8.668593706025453,10.182185852919819,59.15808275683796,20.91013263555181,1,0,0,1
7,0.14,a1_demo_run_001,Unitree A1,0.0015316578316641855,0.32862458836242303,0.0016172126102116857,0.020403265607808814,1.5902130902244368e-05,0.25,0.005317445404810573,0.24468255459518942,0,1,58.28454328026214,9.60132689202631,6.598855482275944,56.44709447093763,20.71325273253147,1,0,0,1
8,0.16,a1_demo_run_001,Unitree A1,0.001645960873325525,0.3212599468408122,0.0033744449022106186,0.02350645037394678,2.0768527400030883e-05,0.25,0.005715152083066978,0.24428484791693303,0,1,58.80527969004921,9.030569621253115,9.636662934657167,58.04271281993376,21.005179023487596,1,0,0,1
9,0.18,a1_demo_run_001,Unitree A1,0.001825022134816615,0.3275319719146299,0.002733677290137066,0.02091544106362378,2.6282868648186438e-05,0.25,0.008953063074554502,0.2410469369254455,0,1,59.82382587206397,7.566643023595497,4.292130620915021,57.37612547377809,20.938490087485988,1,0,0,1
