step,timestamp,run_id,robot_model,forward_displacement,base_height,roll,pitch,yaw,command_vx,measured_vx,tracking_error,mpc_accepted,mpc_rejected,predicted_support_force_fl,predicted_support_force_fr,predicted_support_force_rl,predicted_support_force_rr,mpc_cost,contact_fl,contact_fr,contact_rl,contact_rr
0,0.0,a1_demo_run_002,Unitree A1,7.313209914106353e-05,0.32628852600725206,-0.0026450822665833582,0.021900734294132553,0.0,0.265,0.0036566049570531762,0.26134339504294685,0,1,7.375502870157633,59.74863177562289,57.03554382931981,6.367261025927129,21.206315707774596,0,1,1,0
1,0.02,a1_demo_run_002,Unitree A1,7.313209914106353e-05,0.32374363921853716,-0.000443052821499989,0.023100938229437738,3.246134294112927e-07,0.265,0.0,0.265,0,1,59.4631713025671,8.962769059164895,10.384927750563024,54.14425140076583,21.285223338306643,1,0,0,1
2,0.04,a1_demo_run_002,Unitree A1,0.0003738037110281544,0.32856100954482725,0.0018986664291238881,0.021218142417470904,1.2984336798306956e-06,0.265,0.015033580594354544,0.24996641940564546,0,1,58.57542054624552,10.752578459925825,5.054667306894624,57.77499585618366,21.09575425205883,1,0,0,1
3,0.06,a1_demo_run_002,Unitree A1,0.000779393297298688,0.3239931650194891,0.0013813818240385855,0.020929107870392618,2.9214006387424562e-06,0.265,0.02027947931352668,0.24472052068647332,0,1,57.296011966944704,5.8330340341641245,9.041439130470753,60.075253294527045,21.292842159543167,1,0,0,1
4,0.08,a1_demo_run_002,Unitree A1,0.000779393297298688,0.3241575940380472,0.0008116381985383381,0.022147761689739448,5.193414121712532e-06,0.265,0.0,0.265,0,1,57.151000050055224,7.628495848360044,7.098189725712579,59.141433931684105,20.884079001880703,1,0,0,1
5,0.1,a1_demo_run_002,Unitree A1,0.000779393297298688,0.3272886345255916,0.0012891031979724431,0.017067875897909014,8.114333877026765e-06,0.265,0.0,0.265,0,1,56.147424798877935,7.3524700624800445,8.128540303520191,56.92459618582152,20.617890720986907,1,0,0,1
6,0.12,a1_demo_run_002,Unitree A1,0.001163927959372806,0.3280293888063094,0.0017353352404173956,0.02300570743922616,1.1683979592184074e-05,0.265,0.0192267331037059,0.2457732668962941,0,1,58.95139974474364,5.236844253027958,4.6931120024537405,57.38586925919121,21.394859702438787,1,0,0,1
7,0.14,a1_demo_run_002,Unitree A1,0.0014986156984173535,0.3274281011191315,0.00192073798467869,0.02174435753517384,1.5902130902244368e-05,0.265,0.01673438695222737,0.24826561304777264,0,1,58.138224454607105,9.484458086691571,9.055314551731415,58.7047428398413,20.70027601788202,1,0,0,1
8,0.16,a1_demo_run_002,Unitree A1,0.0019612810012551943,0.32227907190077876,0.008759587917758722,0.021767368329326027,2.0768527400030883e-05,0.265,0.02313326514189205,0.24186673485810797,0,1,55.40363721161055,7.621444821875298,8.101123451864563,59.12119595965035,20.66032744153217,1,0,0,1
9,0.18,a1_demo_run_002,Unitree A1,0.002278745283692757,0.3280227157706811,0.005304279451987654,0.023982099780761157,2.6282868648186438e-05,0.265,0.01587321412187815,0.24912678587812187,0,1,58.06453449189448,9.035483686981188,6.945525951299295,57.15729460114023,20.73716825722446,1,0,0,1
10,0.2,a1_demo_run_002,Unitree A1,0.0030668853861372776,0.3242756959067518,0.0069916371064968055,0.01660015647475567,3.244481419308323e-05,0.265,0.03940700512222601,0.225592994877774,0,1,57.642642775232304,11.303680708061457,7.90315776272557,57.77385740987985,20.72176583454224,1,0,0,1
11,0.22,a1_demo_run_002,Unitree A1,0.0038849291099515514,0.3276326847812403,0.004744312131140894,0.016439390046935547,3.925398358058553e-05,0.265,0.04090218619071369,0.22409781380928634,0,1,61.19929528301423,7.505458831441349,5.928306578540852,58.23434045036615,20.559814228822475,1,0,0,1
12,0.24,a1_demo_run_002,Unitree A1,0.0045858451994964435,0.32366729954479306,0.0058499519085111855,0.021940163032130255,4.6709956373664544e-05,0.265,0.035045804477244584,0.22995419552275542,0,1,56.69838446509773,7.410385824279983,6.188783880185621,58.67605587970377,20.603797170099515,1,0,0,1
13,0.26,a1_demo_run_002,Unitree A1,0.0055945594486014796,0.3285236157464076,0.005288773647242168,0.021109495169008227,5.481227217186494e-05,0.265,0.050435712455251774,0.21456428754474824,0,1,57.152953503048344,8.166129837613594,6.3511775409244455,57.801120711406725,20.550034369411968,1,0,0,1
14,0.28,a1_demo_run_002,Unitree A1,0.006497464744117549,0.32557144284225137,0.0019006721198636554,0.021414379405712062,6.356043063262206e-05,0.265,0.04514526477580349,0.21985473522419652,0,1,60.81298517854062,9.382146294176774,4.406180993633611,57.90572778153255,20.555640724745754,1,0,0,1
15,0.3,a1_demo_run_002,Unitree A1,0.007133889740507223,0.32456036000557215,0.004930045954238669,0.019685350333943762,7.295389149442886e-05,0.265,0.03182124981948371,0.23317875018051631,0,1,61.246262958127545,7.20660176456579,8.206461891884715,60.09162390858058,19.874659634481265,1,0,0,1
16,0.32,a1_demo_run_002,Unitree A1,0.008116428977010455,0.3297293026123714,0.004540154500761737,0.02234343448252588,8.299207460185199e-05,0.265,0.04912696182516163,0.21587303817483838,0,1,58.39114007387759,7.116653764015017,8.668231059855593,59.93876284775165,20.88647383709992,1,0,0,1
17,0.34,a1_demo_run_002,Unitree A1,0.008831157979993974,0.32872539115724186,0.004130092138972438,0.022846255702243506,9.367435993239552e-05,0.265,0.035736450149175945,0.22926354985082406,0,1,58.636043611640574,9.480064978337913,6.018118190330622,58.99891929111212,20.33177667260303,1,0,0,1
18,0.36,a1_demo_run_002,Unitree A1,0.010037112673992588,0.3267615107582922,0.006699745015016615,0.021547027991052552,0.0001050000876252116,0.265,0.06029773469993075,0.20470226530006927,0,1,60.4700381101399,8.53009505337325,7.487484222322746,60.82191508189806,20.46621226450941,1,0,0,1
19,0.38,a1_demo_run_002,Unitree A1,0.011069972892768945,0.33209814209273286,0.012193314435687365,0.019497804057324382,0.0001169685580116565,0.265,0.05164301093881784,0.21335698906118217,0,1,56.43518230360034,5.137380431793251,6.628243335519069,57.95823551182031,19.92909620687852,1,0,0,1
20,0.4,a1_demo_run_002,Unitree A1,0.012119620115012436,0.3275408000181258,0.00989921591093812,0.014683932431148263,0.0001295790316476913,0.265,0.05248236111217458,0.21251763888782543,0,1,57.17270463103488,6.2844514807432486,7.459583546913443,60.85497110163694,20.10853676039879,1,0,0,1
21,0.42,a1_demo_run_002,Unitree A1,0.01309884472852183,0.3288933554997628,0.013005261348500812,0.021670097830685187,0.0001428307293481252,0.265,0.04896123067546966,0.21603876932453037,0,1,59.47001492154284,10.101730209358095,6.121391862304559,59.425302470028925,20.01096684472884,1,0,0,1
22,0.44,a1_demo_run_002,Unitree A1,0.014583003370123044,0.32965437025129585,0.011673127788394928,0.022585848519986473,0.00015672283222270065,0.265,0.07420793208006068,0.19079206791993933,0,1,62.11693850412403,8.562699596310338,5.7632047814773095,63.32758644841281,20.49932286936952,1,0,0,1
23,0.46,a1_demo_run_002,Unitree A1,0.015784239185443538,0.3276001938403411,0.012833922954524438,0.02091821239154815,0.00017125448171401852,0.265,0.06006179076602463,0.20493820923397538,0,1,59.420475967969395,6.932925696547851,8.47290484043324,57.16041343207931,19.938365285257873,1,0,0,1
